variable_name	field_id	visit_id	repetition_id	Field ID	Description	Category	Unnamed: 3	field_type	nice_description
10007-0.1	10007	0	1	10007	Vitamin and mineral supplements (pilot)	Medication		categorical_multiple	Vitamin_and_mineral_supplements_(pilot)
10007-0.2	10007	0	2	10007	Vitamin and mineral supplements (pilot)	Medication		categorical_multiple	Vitamin_and_mineral_supplements_(pilot)
10007-0.3	10007	0	3	10007	Vitamin and mineral supplements (pilot)	Medication		categorical_multiple	Vitamin_and_mineral_supplements_(pilot)
10007-0.4	10007	0	4	10007	Vitamin and mineral supplements (pilot)	Medication		categorical_multiple	Vitamin_and_mineral_supplements_(pilot)
10007-0.5	10007	0	5	10007	Vitamin and mineral supplements (pilot)	Medication		categorical_multiple	Vitamin_and_mineral_supplements_(pilot)
1001-0.0	1001	0	0	1001	Duration of strenuous sports	Physical activity		categorical_single	Duration_of_strenuous_sports
1001-1.0	1001	1	0	1001	Duration of strenuous sports	Physical activity		categorical_single	Duration_of_strenuous_sports
1001-2.0	1001	2	0	1001	Duration of strenuous sports	Physical activity		categorical_single	Duration_of_strenuous_sports
1001-3.0	1001	3	0	1001	Duration of strenuous sports	Physical activity		categorical_single	Duration_of_strenuous_sports
10016-0.0	10016	0	0	10016	Regular use of hands-free device/speakerphone with mobile phone (pilot)	Electronic device use		categorical_single	Regular_use_of_hands-free_device/speakerphone_with_mobile_phone_(pilot)
10105-0.0	10105	0	0	10105	Internet user (pilot)	Electronic device use		categorical_single	Internet_user_(pilot)
1011-0.0	1011	0	0	1011	Frequency of light DIY in last 4 weeks	Physical activity		categorical_single	Frequency_of_light_DIY_in_last_4_weeks
1011-1.0	1011	1	0	1011	Frequency of light DIY in last 4 weeks	Physical activity		categorical_single	Frequency_of_light_DIY_in_last_4_weeks
1011-2.0	1011	2	0	1011	Frequency of light DIY in last 4 weeks	Physical activity		categorical_single	Frequency_of_light_DIY_in_last_4_weeks
1011-3.0	1011	3	0	1011	Frequency of light DIY in last 4 weeks	Physical activity		categorical_single	Frequency_of_light_DIY_in_last_4_weeks
10114-0.0	10114	0	0	10114	Willing to be contacted by email (pilot)	Electronic device use		categorical_single	Willing_to_be_contacted_by_email_(pilot)
10115-0.0	10115	0	0	10115	Why stopped smoking (pilot)	Smoking		categorical_single	Why_stopped_smoking_(pilot)
10133-0.1	10133	0	1						
10133-0.2	10133	0	2						
10133-0.3	10133	0	3						
10134-0.1	10134	0	1						
10134-0.2	10134	0	2						
10134-0.3	10134	0	3						
10136-0.1	10136	0	1	10136	Number of correct matches in round (pilot)	Pairs matching		integer	Number_of_correct_matches_in_round_(pilot)
10136-0.2	10136	0	2	10136	Number of correct matches in round (pilot)	Pairs matching		integer	Number_of_correct_matches_in_round_(pilot)
10136-0.3	10136	0	3	10136	Number of correct matches in round (pilot)	Pairs matching		integer	Number_of_correct_matches_in_round_(pilot)
10137-0.1	10137	0	1	10137	Number of incorrect matches in round (pilot)	Pairs matching		integer	Number_of_incorrect_matches_in_round_(pilot)
10137-0.2	10137	0	2	10137	Number of incorrect matches in round (pilot)	Pairs matching		integer	Number_of_incorrect_matches_in_round_(pilot)
10137-0.3	10137	0	3	10137	Number of incorrect matches in round (pilot)	Pairs matching		integer	Number_of_incorrect_matches_in_round_(pilot)
10138-0.1	10138	0	1	10138	Time to complete round (pilot)	Pairs matching		integer	Time_to_complete_round_(pilot)
10138-0.2	10138	0	2	10138	Time to complete round (pilot)	Pairs matching		integer	Time_to_complete_round_(pilot)
10138-0.3	10138	0	3	10138	Time to complete round (pilot)	Pairs matching		integer	Time_to_complete_round_(pilot)
10139-0.0	10139	0	0						
10139-0.1	10139	0	1						
10139-0.10	10139	0	10						
10139-0.11	10139	0	11						
10139-0.12	10139	0	12						
10139-0.13	10139	0	13						
10139-0.14	10139	0	14						
10139-0.15	10139	0	15						
10139-0.16	10139	0	16						
10139-0.17	10139	0	17						
10139-0.18	10139	0	18						
10139-0.19	10139	0	19						
10139-0.2	10139	0	2						
10139-0.3	10139	0	3						
10139-0.4	10139	0	4						
10139-0.5	10139	0	5						
10139-0.6	10139	0	6						
10139-0.7	10139	0	7						
10139-0.8	10139	0	8						
10139-0.9	10139	0	9						
10140-0.0	10140	0	0						
10140-0.1	10140	0	1						
10140-0.10	10140	0	10						
10140-0.11	10140	0	11						
10140-0.12	10140	0	12						
10140-0.13	10140	0	13						
10140-0.14	10140	0	14						
10140-0.15	10140	0	15						
10140-0.16	10140	0	16						
10140-0.17	10140	0	17						
10140-0.18	10140	0	18						
10140-0.19	10140	0	19						
10140-0.2	10140	0	2						
10140-0.3	10140	0	3						
10140-0.4	10140	0	4						
10140-0.5	10140	0	5						
10140-0.6	10140	0	6						
10140-0.7	10140	0	7						
10140-0.8	10140	0	8						
10140-0.9	10140	0	9						
10141-0.0	10141	0	0	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.1	10141	0	1	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.10	10141	0	10	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.11	10141	0	11	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.12	10141	0	12	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.13	10141	0	13	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.14	10141	0	14	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.15	10141	0	15	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.16	10141	0	16	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.17	10141	0	17	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.18	10141	0	18	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.19	10141	0	19	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.2	10141	0	2	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.3	10141	0	3	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.4	10141	0	4	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.5	10141	0	5	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.6	10141	0	6	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.7	10141	0	7	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.8	10141	0	8	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10141-0.9	10141	0	9	10141	Number of times snap-button pressed (pilot)	Reaction time		integer	Number_of_times_snap-button_pressed_(pilot)
10142-0.1	10142	0	1						
10142-0.2	10142	0	2						
10142-0.3	10142	0	3						
10143-0.1	10143	0	1						
10143-0.2	10143	0	2						
10143-0.3	10143	0	3						
10144-0.1	10144	0	1	10144	Time taken to complete lights test (pilot)	Lights pattern memory		integer	Time_taken_to_complete_lights_test_(pilot)
10144-0.2	10144	0	2	10144	Time taken to complete lights test (pilot)	Lights pattern memory		integer	Time_taken_to_complete_lights_test_(pilot)
10144-0.3	10144	0	3	10144	Time taken to complete lights test (pilot)	Lights pattern memory		integer	Time_taken_to_complete_lights_test_(pilot)
10145-0.1	10145	0	1	10145	Pattern of lights displayed (pilot)	Lights pattern memory		text	Pattern_of_lights_displayed_(pilot)
10145-0.2	10145	0	2	10145	Pattern of lights displayed (pilot)	Lights pattern memory		text	Pattern_of_lights_displayed_(pilot)
10145-0.3	10145	0	3	10145	Pattern of lights displayed (pilot)	Lights pattern memory		text	Pattern_of_lights_displayed_(pilot)
10146-0.1	10146	0	1	10146	Pattern of lights as remembered (pilot)	Lights pattern memory		text	Pattern_of_lights_as_remembered_(pilot)
10146-0.2	10146	0	2	10146	Pattern of lights as remembered (pilot)	Lights pattern memory		text	Pattern_of_lights_as_remembered_(pilot)
10146-0.3	10146	0	3	10146	Pattern of lights as remembered (pilot)	Lights pattern memory		text	Pattern_of_lights_as_remembered_(pilot)
10147-0.0	10147	0	0	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.1	10147	0	1	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.10	10147	0	10	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.11	10147	0	11	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.12	10147	0	12	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.13	10147	0	13	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.14	10147	0	14	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.15	10147	0	15	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.16	10147	0	16	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.17	10147	0	17	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.18	10147	0	18	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.19	10147	0	19	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.2	10147	0	2	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.3	10147	0	3	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.4	10147	0	4	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.5	10147	0	5	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.6	10147	0	6	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.7	10147	0	7	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.8	10147	0	8	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
10147-0.9	10147	0	9	10147	Duration to first press of snap-button in each round (pilot)	Reaction time		integer	Duration_to_first_press_of_snap-button_in_each_round_(pilot)
102-0.0	102	0	0	102	Pulse rate, automated reading	Blood pressure		integer	Pulse_rate,_automated_reading
102-0.1	102	0	1	102	Pulse rate, automated reading	Blood pressure		integer	Pulse_rate,_automated_reading
102-1.0	102	1	0	102	Pulse rate, automated reading	Blood pressure		integer	Pulse_rate,_automated_reading
102-1.1	102	1	1	102	Pulse rate, automated reading	Blood pressure		integer	Pulse_rate,_automated_reading
102-2.0	102	2	0	102	Pulse rate, automated reading	Blood pressure		integer	Pulse_rate,_automated_reading
102-2.1	102	2	1	102	Pulse rate, automated reading	Blood pressure		integer	Pulse_rate,_automated_reading
102-3.0	102	3	0	102	Pulse rate, automated reading	Blood pressure		integer	Pulse_rate,_automated_reading
102-3.1	102	3	1	102	Pulse rate, automated reading	Blood pressure		integer	Pulse_rate,_automated_reading
1021-0.0	1021	0	0	1021	Duration of light DIY	Physical activity		categorical_single	Duration_of_light_DIY
1021-1.0	1021	1	0	1021	Duration of light DIY	Physical activity		categorical_single	Duration_of_light_DIY
1021-2.0	1021	2	0	1021	Duration of light DIY	Physical activity		categorical_single	Duration_of_light_DIY
1021-3.0	1021	3	0	1021	Duration of light DIY	Physical activity		categorical_single	Duration_of_light_DIY
10241-0.0	10241	0	0						
1031-0.0	1031	0	0	1031	Frequency of friend/family visits	Social support		categorical_single	Frequency_of_friend/family_visits
1031-1.0	1031	1	0	1031	Frequency of friend/family visits	Social support		categorical_single	Frequency_of_friend/family_visits
1031-2.0	1031	2	0	1031	Frequency of friend/family visits	Social support		categorical_single	Frequency_of_friend/family_visits
1031-3.0	1031	3	0	1031	Frequency of friend/family visits	Social support		categorical_single	Frequency_of_friend/family_visits
104900-0.0	104900	0	0	104900	Time spent doing vigorous physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_vigorous_physical_activity
104900-1.0	104900	1	0	104900	Time spent doing vigorous physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_vigorous_physical_activity
104900-2.0	104900	2	0	104900	Time spent doing vigorous physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_vigorous_physical_activity
104900-3.0	104900	3	0	104900	Time spent doing vigorous physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_vigorous_physical_activity
104900-4.0	104900	4	0	104900	Time spent doing vigorous physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_vigorous_physical_activity
104910-0.0	104910	0	0	104910	Time spent doing moderate physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_moderate_physical_activity
104910-1.0	104910	1	0	104910	Time spent doing moderate physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_moderate_physical_activity
104910-2.0	104910	2	0	104910	Time spent doing moderate physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_moderate_physical_activity
104910-3.0	104910	3	0	104910	Time spent doing moderate physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_moderate_physical_activity
104910-4.0	104910	4	0	104910	Time spent doing moderate physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_moderate_physical_activity
104920-0.0	104920	0	0	104920	Time spent doing light physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_light_physical_activity
104920-1.0	104920	1	0	104920	Time spent doing light physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_light_physical_activity
104920-2.0	104920	2	0	104920	Time spent doing light physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_light_physical_activity
104920-3.0	104920	3	0	104920	Time spent doing light physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_light_physical_activity
104920-4.0	104920	4	0	104920	Time spent doing light physical activity	Physical activity yesterday		categorical_single	Time_spent_doing_light_physical_activity
10609-0.0	10609	0	0	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.1	10609	0	1	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.10	10609	0	10	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.11	10609	0	11	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.12	10609	0	12	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.13	10609	0	13	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.14	10609	0	14	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.15	10609	0	15	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.16	10609	0	16	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.17	10609	0	17	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.18	10609	0	18	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.19	10609	0	19	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.2	10609	0	2	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.20	10609	0	20	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.21	10609	0	21	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.22	10609	0	22	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.23	10609	0	23	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.24	10609	0	24	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.25	10609	0	25	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.26	10609	0	26	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.27	10609	0	27	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.28	10609	0	28	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.29	10609	0	29	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.3	10609	0	3	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.30	10609	0	30	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.31	10609	0	31	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.32	10609	0	32	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.33	10609	0	33	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.34	10609	0	34	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.35	10609	0	35	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.36	10609	0	36	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.37	10609	0	37	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.38	10609	0	38	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.39	10609	0	39	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.4	10609	0	4	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.40	10609	0	40	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.41	10609	0	41	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.42	10609	0	42	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.43	10609	0	43	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.44	10609	0	44	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.45	10609	0	45	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.46	10609	0	46	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.47	10609	0	47	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.48	10609	0	48	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.49	10609	0	49	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.5	10609	0	5	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.50	10609	0	50	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.6	10609	0	6	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.7	10609	0	7	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.8	10609	0	8	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10609-0.9	10609	0	9	10609	Words answer array (pilot)	Word production		integer	Words_answer_array_(pilot)
10610-0.0	10610	0	0	10610	Word count (pilot)	Word production		categorical_single	Word_count_(pilot)
10612-0.0	10612	0	0	10612	Number of words beginning with 'S' (pilot)	Word production		integer	Number_of_words_beginning_with_'S'_(pilot)
10691-0.1	10691	0	1	10691	Result ranking (pilot)	Spirometry		categorical_single	Result_ranking_(pilot)
10691-0.2	10691	0	2	10691	Result ranking (pilot)	Spirometry		categorical_single	Result_ranking_(pilot)
10691-0.3	10691	0	3	10691	Result ranking (pilot)	Spirometry		categorical_single	Result_ranking_(pilot)
10691-0.4	10691	0	4	10691	Result ranking (pilot)	Spirometry		categorical_single	Result_ranking_(pilot)
10693-0.1	10693	0	1						
10693-0.2	10693	0	2						
10693-0.3	10693	0	3						
10693-0.4	10693	0	4						
10694-0.1	10694	0	1	10694	Forced vital capacity (FVC) (pilot)	Spirometry		continuous	Forced_vital_capacity_(FVC)_(pilot)
10694-0.2	10694	0	2	10694	Forced vital capacity (FVC) (pilot)	Spirometry		continuous	Forced_vital_capacity_(FVC)_(pilot)
10694-0.3	10694	0	3	10694	Forced vital capacity (FVC) (pilot)	Spirometry		continuous	Forced_vital_capacity_(FVC)_(pilot)
10694-0.4	10694	0	4	10694	Forced vital capacity (FVC) (pilot)	Spirometry		continuous	Forced_vital_capacity_(FVC)_(pilot)
10695-0.1	10695	0	1	10695	Forced expiratory volume in 1-second (FEV1) (pilot)	Spirometry		continuous	Forced_expiratory_volume_in_1-second_(FEV1)_(pilot)
10695-0.2	10695	0	2	10695	Forced expiratory volume in 1-second (FEV1) (pilot)	Spirometry		continuous	Forced_expiratory_volume_in_1-second_(FEV1)_(pilot)
10695-0.3	10695	0	3	10695	Forced expiratory volume in 1-second (FEV1) (pilot)	Spirometry		continuous	Forced_expiratory_volume_in_1-second_(FEV1)_(pilot)
10695-0.4	10695	0	4	10695	Forced expiratory volume in 1-second (FEV1) (pilot)	Spirometry		continuous	Forced_expiratory_volume_in_1-second_(FEV1)_(pilot)
10696-0.1	10696	0	1	10696	Peak expiratory flow (PEF) (pilot)	Spirometry		integer	Peak_expiratory_flow_(PEF)_(pilot)
10696-0.2	10696	0	2	10696	Peak expiratory flow (PEF) (pilot)	Spirometry		integer	Peak_expiratory_flow_(PEF)_(pilot)
10696-0.3	10696	0	3	10696	Peak expiratory flow (PEF) (pilot)	Spirometry		integer	Peak_expiratory_flow_(PEF)_(pilot)
10696-0.4	10696	0	4	10696	Peak expiratory flow (PEF) (pilot)	Spirometry		integer	Peak_expiratory_flow_(PEF)_(pilot)
10697-0.1	10697	0	1	10697	Data points for blow (pilot)	Spirometry	†	compound	Data_points_for_blow_(pilot)
10697-0.2	10697	0	2	10697	Data points for blow (pilot)	Spirometry	†	compound	Data_points_for_blow_(pilot)
10697-0.3	10697	0	3	10697	Data points for blow (pilot)	Spirometry	†	compound	Data_points_for_blow_(pilot)
10697-0.4	10697	0	4	10697	Data points for blow (pilot)	Spirometry	†	compound	Data_points_for_blow_(pilot)
1070-0.0	1070	0	0	1070	Time spent watching television (TV)	Physical activity		integer	Time_spent_watching_television_(TV)
1070-1.0	1070	1	0	1070	Time spent watching television (TV)	Physical activity		integer	Time_spent_watching_television_(TV)
1070-2.0	1070	2	0	1070	Time spent watching television (TV)	Physical activity		integer	Time_spent_watching_television_(TV)
1070-3.0	1070	3	0	1070	Time spent watching television (TV)	Physical activity		integer	Time_spent_watching_television_(TV)
10711-0.0	10711	0	0	10711	Spirometry method (pilot)	Spirometry		categorical_single	Spirometry_method_(pilot)
10714-0.0	10714	0	0						
10717-0.0	10717	0	0						
10721-0.0	10721	0	0	10721	Illness, injury, bereavement, stress in last 2 years (pilot)	Mental health		categorical_multiple	Illness,_injury,_bereavement,_stress_in_last_2_years_(pilot)
10721-0.1	10721	0	1	10721	Illness, injury, bereavement, stress in last 2 years (pilot)	Mental health		categorical_multiple	Illness,_injury,_bereavement,_stress_in_last_2_years_(pilot)
10721-0.2	10721	0	2	10721	Illness, injury, bereavement, stress in last 2 years (pilot)	Mental health		categorical_multiple	Illness,_injury,_bereavement,_stress_in_last_2_years_(pilot)
10721-0.3	10721	0	3	10721	Illness, injury, bereavement, stress in last 2 years (pilot)	Mental health		categorical_multiple	Illness,_injury,_bereavement,_stress_in_last_2_years_(pilot)
10721-0.4	10721	0	4	10721	Illness, injury, bereavement, stress in last 2 years (pilot)	Mental health		categorical_multiple	Illness,_injury,_bereavement,_stress_in_last_2_years_(pilot)
10722-0.0	10722	0	0	10722	Qualifications (pilot)	Education		categorical_multiple	Qualifications_(pilot)
10722-0.1	10722	0	1	10722	Qualifications (pilot)	Education		categorical_multiple	Qualifications_(pilot)
10722-0.2	10722	0	2	10722	Qualifications (pilot)	Education		categorical_multiple	Qualifications_(pilot)
10722-0.3	10722	0	3	10722	Qualifications (pilot)	Education		categorical_multiple	Qualifications_(pilot)
10722-0.4	10722	0	4	10722	Qualifications (pilot)	Education		categorical_multiple	Qualifications_(pilot)
10723-0.0	10723	0	0	10723	Vitamin supplements (pilot)	Medication		categorical_multiple	Vitamin_supplements_(pilot)
10723-0.1	10723	0	1	10723	Vitamin supplements (pilot)	Medication		categorical_multiple	Vitamin_supplements_(pilot)
